Redshift, Peak Luminosity, Isotropic Energy Catalog
        1194 Bursts
Burst #   z     L_B       E_iso
 6446   1.457     4.259    47.360
 6450   2.406    13.340    21.170
 6452   0.936     2.160     0.163
 6453   1.262    18.043   225.032
 6454   2.836    50.271  1684.028
 6472   0.847    35.994   501.189
 6479   1.756     5.707    75.889
 6489   2.321    45.018   172.690
 6490   0.896     0.801     5.456
 6498   1.291     2.132    23.893
 6504   0.406     0.588     2.832
 6519   0.968     2.151     4.593
 6520  11.380   234.948   238.540
 6521   2.742    42.302    73.839
 6523   0.947     2.822     6.546
 6525   5.732  1009.643  1465.453
 6528  17.368  7710.126   667.142
 6529   3.456    17.887    21.934
 6533   5.862   386.705   600.909
 6534   9.464   638.034    36.678
 6536   1.642     6.084     7.409
 6538   2.042    11.278    37.107
 6544   0.642     0.840     9.985
 6546   1.796    26.953     7.341
 6550   0.553     0.901     1.368
 6551   2.754    12.590    33.525
 6552   3.559    36.001    28.998
 6554   1.591    12.974     9.177
 6557   2.060    16.949    51.076
 6560   1.804    95.558   123.698
 6564   1.792    10.035    32.483
 6566   0.796     0.898    17.481
 6576   1.042    32.335   293.388
 6577   1.188     3.054     7.149
 6579   0.850     5.290     4.181
 6580   2.150    43.231    13.965
 6581   0.505    17.808    31.908
 6582   2.199    32.765    13.348
 6583   1.717     7.381    29.080
 6585   1.185     3.365    13.024
 6587   1.010    89.707   528.135
 6589   0.937     0.877     1.347
 6590   1.721    12.256    85.177
 6592   6.342   137.465   208.516
 6593   1.347    50.797   260.749
 6598   0.388     0.230     1.475
 6600   3.216    89.843    23.305
 6601   2.280    22.889    63.269
 6605   1.033     4.700    17.481
 6610   2.342    26.899    55.364
 6613   1.329     1.891     2.679
 6615   1.627    26.473   535.407
 6616   0.738     0.537     1.441
 6619   2.295    14.193    75.518
 6620   4.308    45.392   170.651
 6621   1.892    63.232    95.971
 6622   7.626   207.671  1371.777
 6625   0.481     0.610     8.300
 6629   0.851    12.203   161.005
 6630   0.182     0.695     2.340
 6631   1.595     4.811     6.307
 6632   8.382   165.885    80.708
 6642   1.314     9.647   122.485
 6648   0.917     0.950     7.188
 6649   3.664    50.090    11.597
 6655   1.146     2.377    43.187
 6657   0.798     1.061     9.205
 6658   1.620    12.668     4.002
 6666   4.788   114.553    60.049
 6672   1.829    43.349    64.039
 6673   0.631     0.412     1.463
 6674   0.904     0.828    12.439
 6683   3.202   157.871    74.756
 6686   1.059     1.094     5.211
 6694   2.249   117.291   294.203
 6702   5.567   320.652   526.316
 6707   0.459     0.266     2.149
 6708   1.294    10.750     9.973
 6716   2.175    17.432    17.088
 6720   1.660     3.662    10.260
 6745   5.215   161.520   180.411
 6753   0.979     2.074     8.664
 6762   2.881    63.598    24.721
 6763   1.501    10.828   125.873
 6764   2.675   107.950   150.594
 6767   0.931     1.277    14.840
 6774   3.706    50.430    22.902
 6796   1.050     0.851     2.297
 6802   1.584     6.586    20.373
 6814   0.958     6.034    10.484
 6816   3.047   138.793   208.519
 6817   1.796     6.199   112.211
 6830   0.761     0.676     2.348
 6831   1.100     1.320     6.561
 6870   4.222    76.038    13.099
 6880   1.491     5.864     6.019
 6882   3.379    55.648    56.614
 6884   2.401    11.387    13.572
 6886   1.879    21.707    47.683
 6891   0.716     2.929    83.225
 6892   2.645    48.341   321.270
 6903   2.033    16.831    62.532
 6904   0.952   280.738   121.546
 6911   2.117     9.481     2.412
 6914   1.359     2.718     3.348
 6917   1.887    33.475    12.588
 6927   1.905    20.853    15.169
 6930   1.242    17.922    26.537
 6935   0.787     0.732    11.384
 6939   1.254     3.526     4.095
 6950   3.714    27.666    59.809
 6953   0.870     1.253     5.184
 6963   0.982    47.337    90.942
 6987   1.733     3.511    14.965
 7000   1.169     4.713     7.184
 7028   1.003    42.535    43.604
 7064   1.776    14.143    34.564
 7087   0.577     0.722     6.412
 7108   3.137    39.906    26.802
 7110   4.567    88.273   122.766
 7111   4.476   109.783   166.054
 7113   0.512    28.055   323.232
 7116   0.991     4.097     2.298
 7147   6.357   137.670   200.150
 7164   3.319    36.534     2.946
 7167   3.656    38.700    38.717
 7172   2.523   137.916    89.131
 7183   2.627    19.305    11.972
 7185   2.568    97.501   225.668
 7207  10.880  1560.563   433.973
 7209   1.138     3.878     7.393
 7213   2.534    14.534   108.184
 7219   5.617   169.465   574.031
 7228   0.667     1.951     8.012
 7230   0.780     3.988    16.306
 7233   1.098     1.979     7.001
 7236   4.986   187.369   928.349
 7240   1.138    71.271    37.182
 7247   0.806     8.438   311.115
 7250   4.091   150.935   554.535
 7255   0.619     4.288    17.000
 7263   1.177     3.474    18.652
 7270   2.523    24.177   325.510
 7277   2.669   142.274   363.576
 7293   0.364     0.565     3.354
 7295   1.329    18.903   101.301
 7301   0.665    77.646   703.213
 7310   2.772    37.178   923.567
 7319   1.702    20.192    76.696
 7322   1.231     5.300    23.299
 7328   0.328     0.177     1.909
 7329   2.450   228.251   178.928
 7335   1.879    19.798    67.176
 7343   1.792   285.787  3851.191
 7357   1.387     4.060    25.249
 7369   2.209    23.592   148.208
 7371   2.239     9.766    16.854
 7374   0.506     1.944     3.046
 7376   2.033     5.206     5.076
 7379   1.896    10.860    44.644
 7386   1.965     8.929    14.659
 7387   0.745     0.947     4.577
 7390   1.896    21.805   144.315
 7403   0.403     0.263     3.970
 7404   1.196     2.797     6.174
 7429  14.282  6696.051  1310.524
 7432   0.621     0.265     0.658
 7433   1.409     3.063    10.100
 7443   1.457     5.186    25.021
 7446   0.823    14.934     9.120
 7451   0.626     0.501     1.631
 7452   0.967     1.153     3.051
 7457   2.693    45.104   337.099
 7460   1.776     6.267    11.996
 7464   0.922    15.196   124.345
 7469   1.279     9.038    11.767
 7475   0.441     0.949    26.158
 7477   3.955   225.658  1200.786
 7485   1.484     2.879     3.849
 7486   1.066     2.670     4.214
 7487   1.033     2.469     3.594
 7488   1.196     8.346    36.684
 7491   0.612    22.182   298.850
 7494   1.093     4.656     5.188
 7497   3.551    84.388   185.311
 7500   0.785     0.894     2.471
 7502   3.282    72.179   228.612
 7503   3.334   180.394   770.441
 7509   5.443   110.171    13.766
 7515   0.496     1.154    15.026
 7520   1.073     5.828    59.138
 7523   1.271     2.150    17.608
 7526   0.773     0.414     1.239
 7527   0.523     6.723    28.732
 7528   2.033     7.446    69.269
 7529   1.128    18.543    10.763
 7532   0.818     0.541     1.868
 7533   1.504     3.534     4.588
 7548   0.603     1.671     4.507
 7549   1.031    51.318   584.536
 7550   1.105     7.018    12.054
 7551   7.291   383.412   114.523
 7552   2.010     8.655    14.545
 7560   1.792    80.789   162.942
 7566   2.259    15.995    50.967
 7567   1.435    11.253     4.373
 7568   1.234     2.313     8.889
 7573   1.549     5.501    17.632
 7575   1.217   121.822   979.075
 7579   3.807    78.872    53.112
 7580   0.905     0.999     2.686
 7587   0.915     0.461     2.286
 7588   0.398     0.437     2.701
 7597   1.609     6.758    40.116
 7598   1.714    20.744    33.458
 7603   1.040     2.327     1.683
 7604   1.215     1.586     5.801
 7606   1.265     1.981     7.030
 7607   3.519   186.264   386.326
 7608   4.100    46.847   157.637
 7609   0.424     0.158     2.185
 7614   0.900     2.203     8.434
 7615   0.795     0.498     1.627
 7617   1.896    15.119    99.877
 7619   1.698     4.271     8.889
 7625   1.279     2.093     5.396
 7630   3.116    88.210    70.257
 7635   1.220     6.084    28.890
 7638   0.731     1.547     4.063
 7642   2.540    18.269    52.183
 7645   0.949     1.200     8.144
 7647   0.732    60.649    68.426
 7648   0.392     0.378     2.256
 7654   1.584     4.731    40.776
 7656   6.634   419.629   404.322
 7657   1.022     4.755    22.108
 7660   6.229   267.046  3132.275
 7677   0.816     0.690     7.672
 7678   2.042   177.754  1137.034
 7683   2.639    15.790    25.979
 7684   2.423    28.899   225.168
 7688   1.299    25.436   399.511
 7695   2.326   588.097  1544.077
 7703   3.356    81.614   524.840
 7705   0.958     1.689     2.966
 7707   2.979    26.545   161.859
 7711   0.429     0.953     3.311
 7727   1.006     4.180    14.161
 7729   0.785     0.654    10.645
 7741   0.543     0.268     1.602
 7744   0.546     1.022     6.714
 7749   7.592    80.016    68.284
 7762   1.511     8.033    19.937
 7766   3.075  1095.216  3278.446
 7769   1.649    14.121    54.444
 7780   3.402    19.478    31.345
 7781   1.276    24.457     7.112
 7788   3.807   252.439   743.199
 7790   3.543    68.334   132.484
 7791   0.613     0.250     2.007
 7794   2.170    22.298   604.108
 7795   1.105     1.662     4.302
 7810   3.798   293.937   908.728
 7818   4.975   156.706   138.146
 7822   0.521     1.102     6.333
 7825   2.126     3.974     4.368
 7831   5.567   100.185   727.154
 7840   0.353     0.463     3.403
 7841   2.141    41.424    43.605
 7843   1.706    10.876    47.257
 7845   2.545   114.374   211.715
 7858   1.120     9.824    14.663
 7868   0.800     2.643    47.598
 7886   0.987     2.016     6.909
 7888   1.262     2.808     2.314
 7903   2.467    39.898    35.750
 7906   0.805   104.040   424.836
 7918   1.135     2.686    13.142
 7923   4.156    92.866    46.529
 7929   0.833    22.084   208.777
 7932   2.332    43.342   289.448
 7938   5.617   249.533  1391.995
 7942   4.897    92.255    41.452
 7948   2.742    15.184   401.174
 7954   0.825    63.121    69.176
 7963   2.065    14.758    28.958
 7968   3.656    25.243    45.821
 7969   0.233     0.206     0.933
 7973   1.317     4.957     7.531
 7976   1.356    15.918   166.439
 7984   0.892     5.283    20.351
 7987   1.204    30.364    33.190
 7989   5.192   237.148   264.987
 7992   2.363    18.921     4.783
 7997   2.051    13.380    48.558
 7998   4.547   392.206    71.095
 8001   5.579   168.723   810.036
 8004   1.642    13.169    47.398
 8008   0.639    10.309   113.882
 8009   2.051    14.238    16.190
 8012   2.675    23.871    49.943
 8019   2.545    73.926    51.526
 8022   1.381    28.872    46.432
 8030   1.335    20.981    42.347
 8036   6.009   260.790   345.225
 8039   0.530     0.248     2.168
 8045  13.715   828.642   166.205
 8049   0.277     0.150     2.883
 8050   2.316    62.595    17.279
 8054   1.428     2.549     8.209
 8059   0.980     2.027     5.777
 8061   2.056    15.223   109.956
 8062   2.395    12.944    62.332
 8064   1.566     7.204    65.753
 8066   4.650   179.258    61.168
 8075   0.815     3.333    18.416
 8082   2.534   114.092    23.599
 8084   1.457     8.876    83.547
 8086   3.824   221.064   280.598
 8087   1.419    44.262   456.722
 8098   9.657  1435.915  4319.582
 8099   1.854    66.611    55.261
 8101   4.203   168.269  2203.161
 8102   1.066     1.161     3.253
 8105   2.189    20.506    20.727
 8110   0.580     1.616     5.944
 8111   3.639   190.067   252.675
 8112   1.788     5.382     5.444
 8116   2.729    93.638   227.263
