Redshift, Peak Luminosity, Isotropic Energy Catalog
        1194 Bursts
Burst #   z     L_B       E_iso
 1733   0.677     5.199    37.260
 1734   5.122   136.936    60.535
 1742   1.164     2.997    10.511
 1806   0.856     0.796     2.956
 1815   3.387   163.177   263.239
 1819   2.723   109.042    63.492
 1883   0.520     1.949     6.360
 1885   0.414     0.147     1.469
 1886   0.621    22.279    99.165
 1922   2.155    29.568    25.258
 1924   1.120     4.239    18.245
 1956   1.961    21.163    50.891
 1967   2.175    25.859    49.054
 1974   0.381     1.819     2.744
 1982   0.780     3.123    41.914
 1989   0.672     1.466    85.751
 1991   3.543    45.780     6.445
 1993   0.941     1.936     5.739
 2018   0.662     0.673     2.693
 2035  23.581  4343.994    65.028
 2037   2.112   210.907   136.406
 2044   0.896     1.960     7.425
 2047   2.651    36.253    37.529
 2067   0.521     8.218    62.716
 2069   1.335     2.961     1.774
 2074   2.290    20.140   138.040
 2077   0.374     0.080     0.874
 2079   2.953    36.209    31.308
 2080   2.155    88.723   360.133
 2081   1.497    13.040    31.058
 2083   0.268     4.156    14.767
 2087   4.567   218.583   118.734
 2090   1.146    29.749    54.133
 2093   3.464    37.470    82.793
 2099   2.385    17.653    10.932
 2101   1.580     3.197    33.395
 2102   0.883     1.849     5.029
 2105   1.605     6.175     4.908
 2106   0.426     0.356     5.783
 2110   0.847    10.709    75.926
 2111   1.201     2.364    17.060
 2112   1.196     3.095    75.890
 2122   2.687    53.106   682.958
 2129   1.660     5.685     4.463
 2140   0.563     0.328     1.048
 2142   1.153     5.074     1.765
 2149   0.402     0.307     5.677
 2152   0.999     2.910     0.956
 2156   0.910    43.372   367.945
 2181   2.557    16.014    37.280
 2188   1.768     6.581    35.131
 2189   0.458     0.183     0.970
 2190   4.547   148.027   396.514
 2191   8.669   431.389   443.124
 2193   0.276     0.196     5.077
 2197   0.432     0.246     1.951
 2202   2.894    19.653    12.585
 2203  21.894  4113.618   256.617
 2211   3.180    58.476   317.831
 2213   2.093    75.667    97.044
 2219   3.349    51.131    41.611
 2228   1.326    31.647   128.365
 2232   2.687   117.849   194.343
 2240   0.666     0.489     2.222
 2244   1.151     0.966    11.016
 2252   0.773     0.627     3.637
 2253   3.964   135.950    77.354
 2254   0.949     3.566     3.153
 2267   1.242     5.066    15.999
 2271   6.342   349.302   635.817
 2276   1.050     1.973    82.483
 2277   1.362     4.739    20.819
 2287   2.946    61.343   714.323
 2298   2.199     7.618    53.153
 2304   2.540    14.134    43.793
 2306   6.173   180.285   198.629
 2309   2.363    54.271    81.246
 2310   4.986    46.923    65.754
 2315   2.051    14.238    68.949
 2316   2.760   109.872   909.820
 2321   1.702    68.217    68.806
 2324   1.073     1.432    26.168
 2328   7.888   404.405   686.098
 2329   0.320    17.752    96.707
 2340   2.615    20.792    62.819
 2345   0.613     1.413     5.394
 2346   4.975   230.745   234.578
 2349   2.122     4.140     4.587
 2362   1.390    19.765     9.996
 2368   0.750     0.520     1.734
 2371   1.804    39.543   147.816
 2375   2.103    32.003    65.007
 2380  17.564  3502.820   696.611
 2381   0.862     1.582     0.964
 2385   0.844     0.778     2.120
 2387   0.326     0.433     5.845
 2391   0.824     0.446     7.233
 2392   1.623     3.828     8.735
 2393   0.181     0.192     0.390
 2405   2.311    16.188    24.496
 2423   1.448     2.260     4.626
 2428   1.226    10.505    54.957
 2429   2.056    17.580   175.246
 2430   2.687    15.468    52.631
 2431   0.907    55.991    39.692
 2432   1.093     2.921    12.716
 2435   1.288     5.495    41.403
 2436  11.152  5617.212  2280.328
 2437   1.128     1.634     3.075
 2438   5.157   305.199   103.652
 2441   1.237     1.400    21.215
 2442   1.638     2.649     2.298
 2446   3.885   197.723   265.081
 2450   1.545    46.026   164.448
 2451   2.112    42.827    86.954
 2453   5.310   195.097    55.088
 2458   1.347    11.460     7.197
 2460   5.915   150.337    31.355
 2476   8.708   602.409   912.240
