#trigger_num|amplitude|amplitude_error|peak_energy|peak_energy_error|
|      06404|   0.0103|         0.0002|        150|               14|
|      07515|   0.0209|         0.0028|        187|               12|
|      03255|   0.0124|         0.0002|          5|                2|
|      00761|   0.0063|         0.0000|        285|               25|
|      07113|   0.0693|         0.0001|        339|                7|
|      05629|   0.0325|         0.0010|        232|                6|
|      07560|   0.0127|         0.0009|        136|                6|
|      06476|   0.0036|         0.0001|           |                 |
|      07491|   0.0511|         0.0003|        442|                7|
|      06593|   0.0202|         0.0001|        218|               13|
|      02486|   0.0082|         0.0003|        195|                7|
|      01553|   0.0371|         0.0005|           |                 |
|      03571|   0.0129|         0.0003|        307|               11|
|      02770|   0.0024|         0.0000|           |                 |
|      02387|   0.0117|         0.0001|        135|               21|
|      02895|   0.0512|         0.0027|        225|               10|
|      02522|   0.0112|         0.0023|        200|               11|
|      03767|   0.0465|         0.0006|        459|               13|
|      03290|   0.0085|         0.0001|        127|               18|
|      05470|   0.0149|         0.0006|        940|              159|
|      00226|   0.0037|         0.0003|        404|               63|
|      03044|   0.0018|         0.0001|           |                 |
|      07868|   0.0134|         0.0013|        144|                5|
|      03298|   0.0083|         0.0002|        246|               45|
|      07527|   0.0448|         0.0011|        316|                8|
|      02798|   0.0269|         0.0001|        379|               31|
|      05731|   0.0058|         0.0001|        171|               58|
|      07446|   0.0338|         0.0027|        178|               17|
|      00543|   0.0376|         0.0011|        263|                8|
|      07932|   0.0148|         0.0020|        135|                9|
|      01541|   0.0125|         0.0001|        290|               27|
|      03860|   0.0108|         0.0002|        535|               24|
|      02953|   0.0299|         0.0002|        174|                9|
|      07678|   0.0224|         0.0001|        285|               14|
|      06630|   0.0193|         0.0005|        270|               13|
|      01709|   0.0545|         0.0017|        192|                5|
|      03415|   0.0097|         0.0001|        168|               27|
|      01525|   0.0265|         0.0005|        536|              119|
|      06609|   0.0161|         0.0017|        204|               17|
|      05304|   0.0611|         0.0009|        285|                4|
|      03634|   0.0048|         0.0008|        229|               26|
|      06157|   0.0224|         0.0002|        321|               25|
|      02067|   0.0593|         0.0002|        246|               12|
|      03227|   0.0094|         0.0001|        257|               20|
|      07975|   0.0181|         0.0040|        132|               11|
|      02090|   0.0113|         0.0007|        183|                9|
|      01872|   0.0109|         0.0001|           |                 |
|      06349|   0.0035|         0.0001|           |                 |
|      00219|   0.0198|         0.0001|        240|               12|
|      03110|   0.0098|         0.0003|        567|               22|
|      03330|   0.0040|         0.0001|        536|              281|
|      01601|   0.0048|         0.0001|        872|               68|
|      05649|   0.0419|         0.0001|        220|               15|
|      02940|   0.0099|         0.0002|        432|               21|
|      06353|   0.0068|         0.0001|        135|               11|
|      07794|   0.0055|         0.0004|        220|               27|
|      06629|   0.0028|         0.0000|        239|               34|
|      07898|   0.0541|         0.0037|        246|               18|
|      01157|   0.0219|         0.0011|        203|                9|
|      06454|   0.0020|         0.0003|        381|              153|
|      01606|   0.0115|         0.0001|        189|               30|
|      07270|   0.0009|         0.0000|           |                 |
|      02700|   0.0044|         0.0001|        177|               26|
|      02083|   0.0543|         0.0005|        241|                4|
|      01625|   0.0326|         0.0001|        383|               15|
|      07610|   0.0121|         0.0016|        185|               17|
|      02797|   0.0330|         0.0003|        255|               26|
|      03736|   0.0102|         0.0004|        920|              159|
|      06329|   0.0140|         0.0001|        202|               19|
|      07575|   0.0109|         0.0003|        478|               33|
|      06539|   0.0049|         0.0001|       2039|              251|
|      03071|   0.0030|         0.0001|        180|               34|
|      00394|   0.0172|         0.0005|        315|               13|
